species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Cephalanthus occidentalis,orthodox,,,3.2,"dry seeds (mc not reported) survive overnight In liquid nitrogen (Pence, 1991a)"
Cera totheca,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 1 year"
Ceratonia oreothauma,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collections 1 year"
Ceratonia siliqua,orthodox,,yes,200,"viability can be maintained for S years in air-dry storage at 5�C without loss in viability (Goor & Barney, 1968; Alexander & Sheppard, 1974; Riley, 1981)"
Cercidium floridum,orthodox,,,,"no loss in viability after 6 years storage at -1 SoC (Kay et al., 1988)"
Cercidium praecox,orthodox,,,,"seeds are maintained at FSB, Argentina (Abraham de Noir, 1991); in the long-term seed store at DFSC"
Cercis canadensis,orthodox,,,25.6,"(Pence, 1991a); hermetic air-dry storage at O�C to 5�C recommended (Roy, 1974a); 62% germination following 13 years air-dry storage at 40% r.h and 4�C (Widrlech"
Cercis occidentalis,orthodox,yes,,37,"hermetic air-dry storage at O�C to SoC recommended (Roy, 1974a)"
Cercis reniformis,orthodox,yes,,,"air-dry storage (Dirr & Heuser, 1987)"
Cercocarpus betuloides,orthodox,yes,,,"(Young & Young, 1992)"
Cercocarpus ledifolius,orthodox,,,,"viability maintained for more than 5 years in hermetic storage at room temperature with 7-10% mc (Deitschman et al., 1974a); no loss in viability following 15 y"
Cercocarpus montanus,orthodox,,,,"viability maintained for more than 5 years in hermetic storage at room temperature with 7-10% mc (Deitschman et aI., 1974a); 3% germination following 15 years o"
Ceriops decandra,recalcitrant,yes,,,"viviparity (Lemmens & Wulijarni-Soeljipto, 1991)"
Ceriops tagal,intermediate,yes,,,"viviparity, seeds do not tolerate excessive desiccation (Lemmens & Wulijarni-Soeljipto, 1991)"
Chaenomeles japonica,orthodox,yes,,,"hermetic air-dry storage at low temperatures recommended (Dirr & Heuser, 1987)"
Chaenomeles lagenaria,orthodox,,,,"seeds are maintained in the long-term seed store at the National Clonal Germplasm Repository, Oregon, USA (Bettencourt & Konopka, 1989)"
Chaenomeles sinensis,orthodox,yes,,,"hermetic air-dry storage at low temperatures recommended (Dirr & Heuser, 1987)"
Chaenorrhinum minus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 12 years; germination change 100 to 96%,11 years, 1 collection"
Chaerophyllum bulbosum,orthodox,yes,,,"(Auge et aL, 1989); viability is halved following 1 years open storage (Ewart, 1908)"
Chaerophyllum temulentum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 7 years"
Chaetocalyx blanchetiana,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collections 11 years; germination change 100 to 100%, 10 years, 1 collection"
Chamaebatiaria millefolium,orthodox,yes,,,"drying induces dormancy, dry seeds requires prolonged pre-chilling to break this dormancy (Young & Young, 1986)"
Chamaecrista absus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collections 3 years"
Chamaecrista fagonioides,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collections 11 years; germination change 100 to 100%, 10 years, 1 collection"
Chamaecrista fasciculata,orthodox,,,,"dry seeds (me not recorded) survive overnight in liquid nitrogen (Pence, 1991a)"
Chamaecrista mimosoides,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collections 4 years"
Chamaecrista nigricans,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, VVP. Oldest collections 7 years"
Chamaedorea erumpens,orthodox,yes,,,"seeds can be maintained for long periods (Leon, 1961)"
Chamaenerion angustifolium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Chamelaucium uncinatum,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Chile where,orthodox,,,,"(Ffolliot & Thames, 1983); seeds are maintained in the longterm seed store at DFSC"
Chionanthus retusus,orthodox,yes,,,"hermetic air-dry storage and cool temperatures recommended for long-term storage (Dirr & Heuser, 1987)"
Chionanthus virginicus,orthodox,yes,,,"hermetic air-dry storage at cool temperatures recommended for long-term storage (Dirr & Heuser, 1987); however cold moist storage is commonly practiced because "
Chiranthodendron pentadactylon,recalcitrant,yes,,,"viability lost after 2 months storage at 4�C or at ambient temperatures (Garcia-Franco & Rivera, 1990)"
Chisocheton thorelii,orthodox,,yes,,"seeds can be stored for a ""long period of time"" (Doai Van Nguyen, pel's. com.)"
Chloroleucon ebano,orthodox,yes,,667,"dry seeds can be stored at 3�C to SoC (Young & Young, 1992)"
Chorizema dicksonii,orthodox,,,,"24% initial germination witb seeds at 10.4% me, 24% to 44% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 199"
Chrisunas berry,orthodox,yes,,,"hermetic air-dry storage at low temperatures recommended (Young & Young, 1992); drying induces dormancy, dry seeds require prolonged prechilling to overcome thi"
Chrysophyllum albidum,recalcitrant,,,,"(Ng et al., 1993)"
Chrysophyllum cainito,intermediate,,,920,"seeds should not be dried before storage (cited by Harrington, 1972). Viability can be maintained for 6 months in moist storage at 20 c C (Riley, 1981). 81 % ge"
Chrysophyllum oliviforme,recalcitrant,yes,,,"short-lived (Mensa & Acosta, 1990)"
Chrysosplenium oppositifolium,orthodox,yes,,,"germination increases during 12 months hermetic air-dry storage at 5�C (Grime et aL, 1981)"
Chukrasia tabularis,orthodox,yes,,14,"loss in viability after 1 year hermetic air-dry storage at room temperature (Dent, 1948); little loss in viability (by 4%) following 6 months hermetic storage a"
Cicer bijugum,orthodox,,,,no problem for long-term storage under IPGRI preferred conditions (SSLR)
Cicer cuncatum,orthodox,,,,no problem for long-term storage under IPGRI preferred conditions (SSLR)
Cicer judaicum,orthodox,,,,no problem for long-term storage under IPGRI preferred conditions (SSLR)
Cicuta douglasii,orthodox,,yes,,"a few seeds survive after 5 years open storage (Comes et ai., 1978)"
Cimicifuga racemosa,orthodox,,,,"dry seeds (me not reported) survIVe overnight in liquid nitrogen (Pence, 1991a)"
Cinchona josephiana,orthodox,yes,,,"50% and 5% germination following 20 months and 32 months storage at room temperature, respectively (Thomas, 1946)"
Cinchona ledgeriana,orthodox,,,0.3,"50% germination following 14 months storage over desiccant at 25�C (Kreyer, 1939); 91 % germination following 36 weeks storage over sulphuric acid controlled at"
Cinnamomum camphora,orthodox,yes,,100,"dry seeds can be stored, but longevity is short (12 months) at ambient temperature (Dent, 1948; Campbell, 1980), little loss in viability after 12 months moist "
Cinnamomum cassia,recalcitrant,yes,,,"seeds are difficult to maintain (Doai Van Nguyen, pers. comm.)"
Cinnamomum cecidodaphne,recalcitrant,yes,,3.8,"(Dent, 1948); viability is lost within 30 days in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Cinnamomum iners,recalcitrant,yes,,260,"seeds are difficult to maintain (Doai Van Nguyen, pers. com.)"
Cinnamomum insulari-montanum,recalcitrant,,,,"(Lin & Huang, 1994); P5D = 3 days when stored first at 25�C with 80-91 % r.h. for 2 weeks, then at 4�C with 80% r.h. (Lin & Huang, 1994)"
Cinnamomum mercadoi,recalcitrant,,,,"(Anon., 1993)"
Cinnamomum verum,recalcitrant,,,,"(Lin & Huang, 1994); pso = 6 days when stored first at 25�C with 80-91 % r.h. for 2 weeks, then at 4�C with 80% r.h. (Lin & Huang, 1994). Comment: as above"
Cinnamomum zeylanicum,recalcitrant,yes,,,"short-lived at ambient temperature (Purseglove, 1968); viability is reduced to 80% after 7 days, and complete loss in viability after 40 days storage in polythe"
Circaea luteliana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP (germination <75%)"
Citrus amblycarpa,orthodox,,,,"seeds are tolerant of desiccation (Hanson, 1984); seeds tolerate desiccation to 5% mc, no loss in viability after 910 days subsequent hermetic storage at lOoC, "
Citrus aurantifolia,intermediate,,,,"desiccation to 7.9% mc reduces viability by about 10% (King et at., 1981); lime seed is more tolerant of desiccation than orange (c. aurantium L.) but neverthel"
Citrus aurantium,intermediate,,,260,"desiccation from 44.4% to 3.8% mc reduces viability from 90% to 22%, but the viability of the surviving seeds is maintained during 346 days subsequent hermetic "
Citrus grandis,intermediate,,,,"seeds tolerate desiccation to 10-12% mc, but further desiccation reduces viability (Honjo & Nakagawa, 1978)"
Citrus halimii,intermediate,yes,,,"25% germination following cryostorage in liquid nitrogen with whole seeds at 9.5% mc, but 100% germination with excised embryonic axes at 16.6% mc (Normah & Ser"
Citrus hatrix,recalcitrant,,,,"no seeds survived desiccation to 27% mc, 60% of excised embryonic axes at 11 % mc survived cryostorage in liquid nitrogen (Normah & Serimala, 1995)"
Citrus hystrix,orthodox,,,,"Hanson (1984) classified seed storage behaviour as orthodox, but no data were presented"
Citrus iyo,intermediate,,,,"desiccation to 5% mc reduces viability by 60% (Honjo & Nakagawa, 1978)"
Citrus jambhiri,recalcitrant,yes,,,"viability maintained for 5 months in (essentially) moist storage at 8�C (Krishna & Shanker, 1974)"
Citrus karna,recalcitrant,yes,,,"viability maintained for 5 months in (essentially) moist storage at 8�C (Krishna & Shanker, 1974)"
Citrus limonia,orthodox,,,,"seeds tolerate desiccation to 6% me and survive subsequent hermetic storage for 32 months at 4�C without loss in viability, whereas 50% viability lost at 18�C, "
Citrus microcarpa,recalcitrant,yes,,,"Teng & Hor (1976) recommended cool, moist storage."
Citrus mitis,intermediate,yes,,,"seeds maintained for 12 months in storage at 5�C with partially dried seeds (Riley, 1981)"
Citrus natsudaidai,intermediate,,,,"desiccation to 5% me reduces viability by 65% (Honjo & Nakagawa, 1978)"
Citrus otachibana,intermediate,,,,"desiccation to 7% reduces viability by 55% (Honjo & Nakagawa, 1978)"
Citrus paradisi,intermediate,yes,,,"seeds maintained for 12 months in storage at 5�C with partially dried seeds (Riley, 1981) Comment: Seed storage behaviour is far from certain, but the fact that"
Citrus reticulata,intermediate,,,100,"very low viability (not specified) resulted from drying seeds at 40�C for 24 and 48 hours, after which times seed moisture contents are reduced to 7.5% and 3.7%"
Citrus sulcata,intermediate,,,,"seeds survive desiccation to 12% me, but only about 50% survive further desiccation to 9% (Honjo & Nakagawa, 1978);"
Citrus tamurana,intermediate,,,,"seeds survive desiccation to 12% me, but only about 40% survive further desiccation to 9% (Honjo & Nakagawa, 1978)"
Cladrastis lutea,orthodox,,,,"dry seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a); hermetic air-dry storage at SoC recommended (Young & Young, 1992)"
Clarkia amoena,orthodox,,,,"viability is halved after >8 years storage under laboratory conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, VVP. Ol"
Clarkia biloba,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 90 to 90%, 13 years, 1 collection"
Clarkia bottae,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 98.8 to 83.6%, mean storage period 13 "
Clarkia cylindrica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 17 years; average germination change 96.3 to 85%, mean storage period 13 ye"
Clarkia dejlexa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 100 to 75%, 13 years, 1 collection"
Clarkia delicata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Clarkia epilobioides,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, VVP. Oldest collection 15 years; germination change 100 to 100%, 12 years, 1 collection"
Clarkia imbricata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 100%, 13 years, 1 collection"
Clarkia lewisii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 100 to 80%, 14 years, 1 collection"
Clarkia purpurea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 23 years; average germination change 100 to 94%, mean storage period 14 yea"
Clarkia rhomboidea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 99.7 to 97.5%, mean storage period 12 "
Clarkia rubicunda,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; average germination change 98 to 100%, mean storage period 13 yea"
Clarkia speciosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 99.3 to 95%, 11 years, 1 collection"
Clarkia tembloriensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 81 to 90%,11 years, 1 collection"
Clarkia unguiculata,orthodox,,,,"seeds maintained for 2-3 years in commercial storage conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest col"
Clarkia williamsonii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 97.7 to 100%, mean storage period 12 y"
Clarkia xantiana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 23 years; average germination change 94.5 to 97.5%, mean storage period 15 "
Claytonia perfoliata,orthodox,,yes,,"viability is halved following 5 years open storage (Ewart, 1908)"
Clematis armandii,orthodox,yes,,,"hermetic air-dry storage at cool temperatures recommended (Stribling, 1986)"
Clematis drummondii,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
Clematis flammula,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
Clematis fusca,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 9 years"
Clematis ligusticifolia,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
Clematis paniculata,orthodox,yes,,,"seeds maintained for 1 year in commercial storage conditions (Priestley, 1986)"
Clematis pauciflora,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
Clematis pubescens,orthodox,,,2.9,"initial germination 28% with seeds at 10.2% me, germination after 14 days storage in liquid nitrogen varies from 0% to 32% depending on pre-treatment (Touchell "
Clematis sinensis,orthodox,,,,"seeds are maintained in the long-term seed store at PGRC/Ethiopia (Zewdie, 1994)"
Clematis verticilaris,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
Clematis virginiana,orthodox,yes,,,"viability maintained for 2 years in hermetic air-dry storage at room temperature (Rudolf, 1974d)"
